rid,UserLanguage,platform,duration,latitude,longitude,age,gender,firstlang,country,emotion,valence,arousal,temp_cat,response
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Active, Alert",7,3,temp30,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Passive, Quiet",7,3,temp20,3
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Energetic, Excited",7,3,temp30,4
R_1,English,prolific,247,28.52740479,-81.60119629,42,Female,English,United States,"Relaxed, Calm",7,3,temp10,4
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Enthusiastic, Inspired",7,5,temp40,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Active, Alert",7,5,temp30,3
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Tense, Bothered",7,5,temp40,5
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Dull, Bored",7,5,temp10,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Passive, Quiet",7,5,temp0,5
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Passive, Quiet",7,5,temp30,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Unhappy, Dissatisfied",7,5,temp10,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Energetic, Excited",7,5,temp20,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Relaxed, Calm",7,5,temp10,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Active, Alert",7,5,temp20,5
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Dull, Bored",7,5,temp20,4
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Enthusiastic, Inspired",7,5,temp10,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Secure, At ease",7,5,temp0,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Secure, At ease",7,5,temp10,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Unhappy, Dissatisfied",7,5,temp20,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Energetic, Excited",7,5,temp10,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Active, Alert",7,5,temp10,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Blue, Uninspired",7,5,temp30,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Tense, Bothered",7,5,temp10,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Enthusiastic, Inspired",7,5,temp30,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Tense, Bothered",7,5,temp30,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Blue, Uninspired",7,5,temp0,5
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Passive, Quiet",7,5,temp40,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Energetic, Excited",7,5,temp30,3
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Happy, Satisfied",7,5,temp40,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Tense, Bothered",7,5,temp20,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Energetic, Excited",7,5,temp40,4
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Jittery, Nervous",7,5,temp30,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Jittery, Nervous",7,5,temp10,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Jittery, Nervous",7,5,temp40,4
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Relaxed, Calm",7,5,temp30,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Enthusiastic, Inspired",7,5,temp0,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Secure, At ease",7,5,temp20,5
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Jittery, Nervous",7,5,temp20,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Dull, Bored",7,5,temp0,5
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Dull, Bored",7,5,temp30,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Unhappy, Dissatisfied",7,5,temp30,3
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Blue, Uninspired",7,5,temp40,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Active, Alert",7,5,temp40,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Passive, Quiet",7,5,temp20,4
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Active, Alert",7,5,temp0,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Unhappy, Dissatisfied",7,5,temp40,4
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Happy, Satisfied",7,5,temp20,5
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Blue, Uninspired",7,5,temp20,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Relaxed, Calm",7,5,temp40,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Blue, Uninspired",7,5,temp10,3
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Relaxed, Calm",7,5,temp0,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Tense, Bothered",7,5,temp0,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Dull, Bored",7,5,temp40,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Jittery, Nervous",7,5,temp0,5
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Unhappy, Dissatisfied",7,5,temp0,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Secure, At ease",7,5,temp40,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Relaxed, Calm",7,5,temp20,5
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Enthusiastic, Inspired",7,5,temp20,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Secure, At ease",7,5,temp30,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Happy, Satisfied",7,5,temp30,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Passive, Quiet",7,5,temp10,2
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Happy, Satisfied",7,5,temp0,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Energetic, Excited",7,5,temp0,1
R_2,English,prolific,290,42.4178009,-71.11340332,56,Male,English,United States,"Happy, Satisfied",7,5,temp10,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Unhappy, Dissatisfied",8,8,temp10,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Dull, Bored",8,8,temp0,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Blue, Uninspired",8,8,temp40,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Tense, Bothered",8,8,temp30,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Secure, At ease",8,8,temp30,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Active, Alert",8,8,temp30,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Secure, At ease",8,8,temp10,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Secure, At ease",8,8,temp0,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Energetic, Excited",8,8,temp0,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Passive, Quiet",8,8,temp20,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Blue, Uninspired",8,8,temp0,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Secure, At ease",8,8,temp20,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Dull, Bored",8,8,temp40,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Enthusiastic, Inspired",8,8,temp40,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Relaxed, Calm",8,8,temp30,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Passive, Quiet",8,8,temp30,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Happy, Satisfied",8,8,temp10,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Jittery, Nervous",8,8,temp0,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Active, Alert",8,8,temp0,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Enthusiastic, Inspired",8,8,temp10,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Active, Alert",8,8,temp40,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Dull, Bored",8,8,temp10,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Passive, Quiet",8,8,temp0,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Enthusiastic, Inspired",8,8,temp20,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Energetic, Excited",8,8,temp10,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Relaxed, Calm",8,8,temp10,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Jittery, Nervous",8,8,temp10,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Unhappy, Dissatisfied",8,8,temp30,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Happy, Satisfied",8,8,temp20,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Jittery, Nervous",8,8,temp30,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Energetic, Excited",8,8,temp30,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Blue, Uninspired",8,8,temp30,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Unhappy, Dissatisfied",8,8,temp40,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Happy, Satisfied",8,8,temp30,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Unhappy, Dissatisfied",8,8,temp20,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Jittery, Nervous",8,8,temp40,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Active, Alert",8,8,temp10,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Tense, Bothered",8,8,temp0,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Dull, Bored",8,8,temp30,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Relaxed, Calm",8,8,temp40,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Passive, Quiet",8,8,temp10,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Secure, At ease",8,8,temp40,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Tense, Bothered",8,8,temp20,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Energetic, Excited",8,8,temp40,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Relaxed, Calm",8,8,temp20,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Jittery, Nervous",8,8,temp20,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Energetic, Excited",8,8,temp20,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Blue, Uninspired",8,8,temp10,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Blue, Uninspired",8,8,temp20,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Tense, Bothered",8,8,temp40,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Enthusiastic, Inspired",8,8,temp30,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Passive, Quiet",8,8,temp40,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Dull, Bored",8,8,temp20,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Happy, Satisfied",8,8,temp40,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Enthusiastic, Inspired",8,8,temp0,2
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Unhappy, Dissatisfied",8,8,temp0,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Tense, Bothered",8,8,temp10,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Happy, Satisfied",8,8,temp0,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Relaxed, Calm",8,8,temp0,1
R_3,Japanese,lancers,207,35.69000244,139.6900024,16,Male,Arabic,Afghanistan,"Active, Alert",8,8,temp20,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Enthusiastic, Inspired",4,3,temp30,3
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Secure, At ease",4,3,temp10,4
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Relaxed, Calm",4,3,temp0,5
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Dull, Bored",4,3,temp0,5
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Passive, Quiet",4,3,temp20,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Unhappy, Dissatisfied",4,3,temp0,5
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Passive, Quiet",4,3,temp30,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Enthusiastic, Inspired",4,3,temp0,1
R_4,English,prolific,400,28.44090271,-82.45469666,27,Male,English,United States,"Energetic, Excited",4,3,temp20,2
