"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2004 JN1)","31","23.7","32 - 142","2","6.244, 354","6.991, 290","469190","2029-07 [21.5]","none","bK04J01N"
"(2020 RF5)","7","24.1","27 - 120","4","5.361, 354","6.985, 274","464153","2030-08 [23.8]","none","bK20R05F"
"(2021 EX)","11","26.0","11 - 49","6","5.544, 346","6.828, 306","462341","? 2035-11 [22.7] ?","none","bK21E00X"
"(2015 VO105)","30","24.1","26 - 118","2","5.903, 346","6.905, 314","453806","2030-02 [20.8]","none","bK15VA5O"
"(2020 HS1)","9","25.8","12 - 54","6","6.049, 354","6.956, 138","444439","? 2026-12 [22.8] ?","none","bK20H01S"
"(2021 KP1)","6","25.4","14 - 65","7","6.031, 354","6.966, 170","436677","? 2028-11 [21.7] ?","none","bK21K01P"
"(2007 TF15)","20","24.7","20 - 90","0","6.859, 354","6.859, 354","436522","2028-05 [21.4]","none","bK07T15F"
"(2017 FM2)","7","25.6","13 - 59","5","5.820, 354","6.999, 170","435150","2042-02 [23.8]","none","bK17F02M"
"(2021 SO2)","15","24.2","26 - 115","2","5.754, 186","6.966, 154","432001","2032-02 [21.9]","none","bK21S02O"
"(2019 NC1)","134","21.4","90 - 403","0","6.961, 354","6.961, 354","431179","2022-09 [18.4]","2022-09 [14]","bK19N01C"
"(2017 GM6)","14","26.0","11 - 49","5","5.323, 354","6.989, 170","430885","? 2041-02 [20.8] ?","none","bK17G06M"
"(2019 YV)","18","23.6","33 - 148","3","6.486, 354","6.940, 330","429362","2035-10 [21.2]","none","bK19Y00V"
"(2009 TP)","11","23.6","33 - 148","6","6.491, 354","6.980, 346","428390","2033-10 [22.2]","none","bK09T00P"
"(2014 MZ17)","16","24.1","26 - 118","3","6.932, 346","6.941, 338","428212","2028-05 [19.6]","none","bK14M17Z"
"(2020 HT3)","19","25.3","15 - 68","5","5.319, 354","6.987, 298","423051","? 2038-09 [19.1] ?","none","bK20H03T"
"(2021 RS)","18","24.9","18 - 80","6","6.864, 322","6.990, 226","411853","2027-09 [22.6]","none","bK21R00S"
"(2022 LV)","17","25.9","11 - 51","3","6.007, 306","6.967, 170","411343","2022-10 [22.9]","none","bK22L00V"
"(2009 OS5)","33","24.4","23 - 103","0","6.697, 194","6.990, 146","410475","2025-10 [22.4]","none","bK09O05S"
"(2019 RY)","22","24.8","19 - 85","2","6.311, 354","6.995, 178","393697","none","none","bK19R00Y"
"(2013 YG)","11","25.4","14 - 65","5","6.630, 354","6.995, 346","389171","2041-01 [23.5]","none","bK13Y00G"
"(2020 OM6)","9","25.0","17 - 78","4","5.373, 354","6.979, 306","385931","2030-11 [19.7]","2031-01 [14]","bK20O06M"
"(2015 BG92)","28","25.1","17 - 74","4","5.188, 178","6.931, 146","383144","2028-06 [19.0]","none","bK15B92G"
"(2009 UY19)","26","23.4","36 - 163","2","5.605, 354","6.995, 162","381362","2037-08 [18.6]","2039-04 [29]","bK09U19Y"
"(2022 JT)","7","25.7","13 - 56","6","6.792, 346","6.950, 322","379599","? 2037-05 [21.4] ?","none","bK22J00T"
"(2019 AQ2)","18","25.6","13 - 59","3","5.648, 354","6.994, 322","371671","2033-12 [21.8]","none","bK19A02Q"
"(2015 YK)","15","25.9","11 - 51","5","6.191, 354","6.994, 314","367508","2023-10 [23.4]","none","bK15Y00K"
"(2016 WT7)","12","25.9","11 - 51","5","5.509, 354","6.934, 186","366549","2033-03 [22.9]","none","bK16W07T"
"(2014 YN)","24","25.7","13 - 56","5","6.255, 306","6.979, 146","365549","2030-12 [22.1]","2030-11 [800]","bK14Y00N"
"(2017 XS2)","10","26.0","11 - 49","5","6.375, 306","6.700, 290","365205","2028-12 [22.4]","none","bK17X02S"
"(2021 JV2)","5","25.3","15 - 69","6","5.919, 354","6.911, 322","361482","? 2033-10 [22.2] ?","none","bK21J02V"
"(2019 PY)","14","25.3","15 - 68","2","6.065, 354","6.910, 338","357645","2032-01 [22.9]","none","bK19P00Y"
"(2018 VN5)","22","25.4","14 - 65","3","6.670, 354","6.996, 346","352313","2025-12 [22.8]","none","bK18V05N"
"(2017 BF30)","19","24.2","25 - 112","3","6.577, 354","6.964, 298","348076","2031-05 [23.1]","none","bK17B30F"
"(2016 TP11)","22","24.3","24 - 107","3","6.330, 354","6.998, 338","346057","2033-01 [21.9]","none","bK16T11P"
