Date,Temp_Max,Temp_Min,Temp_Avg,Temp_Departure,HDD,CDD,Prec,New_Snow_,Snow_Dept,FID
2020/10/01 00:00:00+00,107,76,91.5,8.8,0,27,0,0,0,83
2020/08/09 00:00:00+00,112,84,98,4.1,0,33,0,M,M,84
2020/03/10 00:00:00+00,73,60,66.5,2.6,0,2,0.28,0,0,85
2020/01/17 00:00:00+00,65,45,55,-1.5,10,0,0,M,M,86
2020/06/19 00:00:00+00,102,76,89,-2.9,0,24,0,0,0,87
2020/11/22 00:00:00+00,84,60,72,10.7,0,7,0,0,0,88
2020/04/29 00:00:00+00,104,73,88.5,11.7,0,24,0,0,0,89
2020/10/02 00:00:00+00,106,75,90.5,8.2,0,26,0,0,0,90
2020/03/11 00:00:00+00,66,61,63.5,-0.6,1,0,0.67,0,0,91
2020/08/10 00:00:00+00,111,84,97.5,3.6,0,33,0,M,M,92
2020/06/20 00:00:00+00,105,77,91,-1.1,0,26,0,0,0,93
2020/11/23 00:00:00+00,80,58,69,8.1,0,4,0,0,0,94
2020/01/18 00:00:00+00,70,42,56,-0.6,9,0,0,M,M,95
2020/04/30 00:00:00+00,101,75,88,10.8,0,23,0,0,M,96
2020/03/12 00:00:00+00,71,57,64,-0.4,1,0,0.43,0,0,97
2020/10/03 00:00:00+00,105,73,89,7.1,0,24,0,0,0,98
2020/08/11 00:00:00+00,109,89,99,5.1,0,34,0,M,M,99
2020/11/24 00:00:00+00,72,53,62.5,2,2,0,0,0,0,100
2020/06/21 00:00:00+00,108,81,94.5,2.1,0,30,0,0,0,101
2020/03/13 00:00:00+00,66,53,59.5,-5.1,5,0,0.4,0,0,102
2020/05/01 00:00:00+00,101,69,85,7.5,0,20,0,M,M,103
2020/01/19 00:00:00+00,76,44,60,3.3,5,0,0,M,M,104
2020/08/12 00:00:00+00,111,89,100,6.2,0,35,0,M,M,105
2020/10/04 00:00:00+00,105,71,88,6.5,0,23,0,0,0,106
2020/11/25 00:00:00+00,72,48,60,-0.1,5,0,0,0,0,107
2020/03/14 00:00:00+00,73,50,61.5,-3.3,3,0,0,0,0,108
2020/10/05 00:00:00+00,105,71,88,6.9,0,23,0,0,0,109
2020/08/13 00:00:00+00,115,91,103,9.2,0,38,0,M,M,110
2020/05/02 00:00:00+00,99,71,85,7.2,0,20,0,M,M,111
2020/06/22 00:00:00+00,109,81,95,2.4,0,30,0,0,0,112
2020/01/20 00:00:00+00,74,55,64.5,7.7,0,0,0,M,M,113
2020/03/15 00:00:00+00,77,53,65,0,0,0,0,0,0,114
2020/06/23 00:00:00+00,110,83,96.5,3.7,0,32,0,0,0,115
2020/10/06 00:00:00+00,104,72,88,7.3,0,23,0,0,0,116
2020/01/21 00:00:00+00,64,53,58.5,1.6,6,0,0.19,M,M,117
2020/05/03 00:00:00+00,97,70,83.5,5.4,0,19,0,M,M,118
2020/08/14 00:00:00+00,117,89,103,9.3,0,38,0,M,M,119
2020/03/16 00:00:00+00,78,53,65.5,0.3,0,1,0,0,M,120
2020/11/26 00:00:00+00,72,45,58.5,-1.2,6,0,0,0,0,121
2020/06/24 00:00:00+00,111,81,96,3,0,31,0,0,M,122
2020/10/07 00:00:00+00,103,73,88,7.7,0,23,0,0,0,123
2020/01/22 00:00:00+00,64,51,57.5,0.5,7,0,0,M,M,124
2020/05/04 00:00:00+00,99,69,84,5.6,0,19,0,M,M,125
2020/08/15 00:00:00+00,114,92,103,9.3,0,38,0,M,M,126
2020/03/17 00:00:00+00,75,58,66.5,1.1,0,2,0,0,0,127
2020/11/27 00:00:00+00,65,47,56,-3.3,9,0,0,0,0,128
2020/06/25 00:00:00+00,110,82,96,2.8,0,31,0,0,M,129
2020/10/08 00:00:00+00,102,72,87,7.2,0,22,0,0,0,130
2020/01/23 00:00:00+00,71,47,59,1.9,6,0,0,M,M,131
2020/05/05 00:00:00+00,103,71,87,8.2,0,22,0,M,M,132
2020/08/16 00:00:00+00,115,91,103,9.4,0,38,0,M,M,133
2020/03/18 00:00:00+00,69,50,59.5,-6.1,5,0,0.15,0,0,134
2020/11/28 00:00:00+00,71,44,57.5,-1.4,7,0,0,0,0,135
2020/06/26 00:00:00+00,110,82,96,2.6,0,31,0,0,M,136
2020/10/09 00:00:00+00,100,72,86,6.6,0,21,0,0,0,137
2020/01/24 00:00:00+00,73,48,60.5,3.3,4,0,0,M,M,138
2020/05/06 00:00:00+00,106,74,90,10.9,0,25,0,0,M,139
2020/03/19 00:00:00+00,65,49,57,-8.8,8,0,0.01,0,0,140
2020/08/17 00:00:00+00,115,90,102.5,8.9,0,38,T,M,M,141
2020/11/29 00:00:00+00,73,44,58.5,-0.1,6,0,0,0,M,142
2020/06/27 00:00:00+00,108,84,96,2.4,0,31,0,0,0,143
2020/10/10 00:00:00+00,97,70,83.5,4.5,0,19,0,0,0,144
2020/01/25 00:00:00+00,73,48,60.5,3.3,4,0,0,0,0,145
2020/05/07 00:00:00+00,106,72,89,9.6,0,24,0,0,0,146
2020/03/20 00:00:00+00,71,48,59.5,-6.5,5,0,0,0,0,147
2020/08/18 00:00:00+00,115,90,102.5,9,0,38,0,M,M,148
2020/11/30 00:00:00+00,74,49,61.5,3.3,3,0,0,0,M,149
2020/06/28 00:00:00+00,105,81,93,-0.8,0,28,0,0,0,150
2020/10/11 00:00:00+00,94,69,81.5,2.9,0,17,0,0,0,151
2020/01/26 00:00:00+00,73,49,61,3.7,4,0,0,0,0,152
2020/05/08 00:00:00+00,104,74,89,9.3,0,24,0,0,0,153
2020/03/21 00:00:00+00,75,52,63.5,-2.7,1,0,0,0,0,154
2020/08/19 00:00:00+00,115,91,103,9.5,0,38,0,0,0,155
2020/12/01 00:00:00+00,71,45,58,0.1,7,0,0,0,0,156
2020/06/29 00:00:00+00,101,81,91,-2.9,0,26,0,0,0,157
2020/10/12 00:00:00+00,99,68,83.5,5.3,0,19,0,0,0,158
2020/01/27 00:00:00+00,74,51,62.5,5.1,2,0,0,0,0,159
2020/05/09 00:00:00+00,101,77,89,9,0,24,0,0,M,160
2020/03/22 00:00:00+00,73,55,64,-2.4,1,0,0,0,0,161
2020/08/20 00:00:00+00,112,79,95.5,2.1,0,31,0.9,0,0,162
2020/12/02 00:00:00+00,69,44,56.5,-1.1,8,0,0,0,0,163
2020/06/30 00:00:00+00,100,76,88,-6.1,0,23,0,0,M,164
2020/10/13 00:00:00+00,100,69,84.5,6.7,0,20,0,0,0,165
2020/01/28 00:00:00+00,72,46,59,1.5,6,0,0,0,0,166
2020/05/10 00:00:00+00,100,81,90.5,10.2,0,26,T,0,M,167
2020/03/23 00:00:00+00,77,59,68,1.4,0,3,0,0,0,168
2020/08/21 00:00:00+00,100,81,90.5,-2.9,0,26,0,0,0,169
2020/12/03 00:00:00+00,66,48,57,-0.3,8,0,0,0,0,170
2020/07/01 00:00:00+00,105,76,90.5,-3.7,0,26,0,0,0,171
2020/10/14 00:00:00+00,100,67,83.5,6.1,0,19,0,0,0,172
2020/01/29 00:00:00+00,67,47,57,-0.6,8,0,0,0,0,173
2020/05/11 00:00:00+00,100,76,88,7.4,0,23,0,0,M,174
2020/03/24 00:00:00+00,77,55,66,-0.8,0,1,0,0,0,175
2020/08/22 00:00:00+00,106,87,96.5,3.2,0,32,0,0,0,176
2020/12/04 00:00:00+00,68,41,54.5,-2.5,10,0,0,0,0,177
2020/07/02 00:00:00+00,104,80,92,-2.4,0,27,0,0,0,178
2020/10/15 00:00:00+00,99,69,84,7,0,19,0,0,0,179
