Date,Temp_Max,Temp_Min,Temp_Avg,Temp_Departure,HDD,CDD,Prec,New_Snow_,Snow_Dept,FID
2020/02/22 00:00:00+00,69,56,62.5,1.7,2,0,1.04,0,0,350
2020/07/15 00:00:00+00,109,89,99,3.9,0,34,0,0,0,351
2020/07/16 00:00:00+00,111,88,99.5,4.4,0,35,0,0,0,352
2020/07/17 00:00:00+00,109,90,99.5,4.4,0,35,0,0,0,353
2020/07/18 00:00:00+00,111,91,101,6,0,36,0,0,0,354
2020/07/19 00:00:00+00,108,93,100.5,5.5,0,36,0,0,M,355
2020/07/20 00:00:00+00,103,93,98,3,0,33,T,0,M,356
2020/07/21 00:00:00+00,109,89,99,4.1,0,34,0,0,0,357
2020/07/22 00:00:00+00,107,88,97.5,2.6,0,33,0,0,M,358
2020/07/23 00:00:00+00,98,86,92,-2.8,0,27,0,0,0,359
2020/07/24 00:00:00+00,104,79,91.5,-3.3,0,27,0.1,0,0,360
2020/07/25 00:00:00+00,105,82,93.5,-1.2,0,29,0,0,M,361
2020/07/26 00:00:00+00,110,86,98,3.3,0,33,0,0,0,362
2020/07/27 00:00:00+00,111,90,100.5,5.9,0,36,0,0,0,363
2020/07/28 00:00:00+00,115,90,102.5,7.9,0,38,0,0,0,364
2020/07/29 00:00:00+00,115,91,103,8.5,0,38,0,0,0,365
2020/07/30 00:00:00+00,118,91,104.5,10,0,40,0,0,M,366
