,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Wenner VES,17.50,28.00,21.00,24.50,28.60,0.06,0.00,114.21,194.105,149.251
,Wenner VES,21.00,73.50,38.50,56.00,-19.78,25.01,0.00,-0.59,-1.669,9.277
,Wenner VES,21.00,63.00,35.00,49.00,13.61,0.24,0.00,-43.36,16.294,105.303
,Wenner VES,21.00,52.50,31.50,42.00,21.21,0.41,0.00,-114.14,40.428,125.741
,Wenner VES,21.00,42.00,28.00,35.00,29.70,0.88,0.00,-237.78,3.812,5.645
,Wenner VES,21.00,31.50,24.50,28.00,35.52,0.23,0.00,-33.20,176.088,109.033
,Wenner VES,24.50,77.00,42.00,59.50,2.28,32.64,0.00,86.75,1.308,62.979
,Wenner VES,24.50,66.50,38.50,52.50,7.51,4.90,0.00,251.27,2.273,26.614
,Wenner VES,24.50,56.00,35.00,45.50,25.77,0.09,0.00,-139.38,40.835,104.561
,Wenner VES,24.50,45.50,31.50,38.50,63.17,0.75,0.00,-176.55,9.881,6.880
,Wenner VES,24.50,35.00,28.00,31.50,49.86,0.10,0.00,-94.71,108.714,47.949
,Wenner VES,28.00,80.50,45.50,63.00,7.93,4.24,0.00,40.45,16.949,234.896
,Wenner VES,28.00,70.00,42.00,56.00,5.34,10.84,0.00,288.66,2.144,35.285
,Wenner VES,28.00,59.50,38.50,49.00,25.42,0.06,0.00,25.92,36.604,94.982
,Wenner VES,28.00,49.00,35.00,42.00,54.08,0.51,0.00,-202.47,17.693,14.388
,Wenner VES,28.00,38.50,31.50,35.00,52.03,0.13,0.00,60.50,14.482,6.121
,Wenner VES,31.50,73.50,45.50,59.50,-7.08,53.16,0.00,389.49,-0.711,8.833
,Wenner VES,31.50,63.00,42.00,52.50,25.13,0.26,0.00,119.78,23.727,62.288
,Wenner VES,31.50,52.50,38.50,45.50,41.64,0.19,0.00,-92.43,64.398,68.027
,Wenner VES,31.50,42.00,35.00,38.50,1945.32,0.21,0.00,-61.86,211.041,2.386
,Wenner VES,35.00,77.00,49.00,63.00,13.50,5.76,0.00,291.84,4.440,28.940
,Wenner VES,35.00,66.50,45.50,56.00,19.18,0.97,0.00,117.18,5.281,18.163
,Wenner VES,35.00,56.00,42.00,49.00,53.48,0.14,0.00,35.35,41.602,34.217
,Wenner VES,35.00,45.50,38.50,42.00,587.54,0.58,0.00,-24.89,168.931,6.323
,Wenner VES,38.50,80.50,52.50,66.50,7.76,45.75,0.00,238.27,0.525,5.955
,Wenner VES,38.50,70.00,49.00,59.50,24.65,0.51,0.00,110.17,1.946,5.208
,Wenner VES,38.50,59.50,45.50,52.50,47.34,1.39,0.00,41.69,6.101,5.669
,Wenner VES,38.50,49.00,42.00,45.50,1922.56,0.43,0.00,82.84,201.777,2.308
,Wenner VES,42.00,73.50,52.50,63.00,22.38,0.34,0.00,55.16,1.246,3.674
,Wenner VES,42.00,63.00,49.00,56.00,48.91,2.83,0.00,23.31,6.028,5.421
,Wenner VES,42.00,52.50,45.50,49.00,721.64,0.41,0.00,50.01,179.019,5.455
,Wenner VES,45.50,77.00,56.00,66.50,15.02,2.07,0.00,137.61,1.450,6.368
,Wenner VES,45.50,66.50,52.50,59.50,38.13,2.96,0.00,-18.59,4.801,5.538
,Wenner VES,45.50,56.00,49.00,52.50,124.45,0.22,0.00,87.57,35.685,6.306
,Wenner VES,49.00,80.50,59.50,70.00,20.26,0.42,0.00,-5.79,4.219,13.739
,Wenner VES,49.00,70.00,56.00,63.00,51.30,1.56,0.00,7.89,12.021,10.305
,Wenner VES,49.00,59.50,52.50,56.00,212.37,0.27,0.00,26.90,120.720,12.500
,Wenner VES,52.50,73.50,59.50,66.50,30.23,143.38,0.00,-53.26,2.807,4.085
,Wenner VES,52.50,63.00,56.00,59.50,92.62,0.09,0.00,117.37,197.132,46.806
,Wenner VES,56.00,77.00,63.00,70.00,14.40,601.29,0.00,-385.88,1.981,6.053
,Wenner VES,56.00,66.50,59.50,63.00,75.62,0.46,0.00,186.17,75.058,21.829
,Wenner VES,59.50,80.50,66.50,73.50,0.79,15522.70,0.00,-551.15,0.124,6.871
,Wenner VES,59.50,70.00,63.00,66.50,65.31,0.59,0.00,243.44,79.910,26.907
,Wenner VES,63.00,73.50,66.50,70.00,189.22,235.33,0.00,298.00,7.737,0.899
,Wenner VES,66.50,77.00,70.00,73.50,57.23,10.67,0.00,-63.50,23.487,9.025
,Wenner VES,70.00,80.50,73.50,77.00,53.96,9.92,0.00,80.04,32.099,13.081
