time_tag,satellite,flux,observed_flux,electron_correction,electron_contaminaton,energy
2022-09-12T09:38:00Z,16,8.717963595472611e-8,9.867441974620306e-8,1.1494783791476948e-8,false,0.05-0.4nm
2022-09-12T09:38:00Z,16,0.0000026775421702041058,0.0000027100779789179796,3.253563463090359e-8,false,0.1-0.8nm
2022-09-12T09:39:00Z,16,8.177178045798428e-8,9.288453384215245e-8,1.1112752495989753e-8,false,0.05-0.4nm
2022-09-12T09:39:00Z,16,0.000002590031726867892,0.0000026233083190163597,3.3276542410476395e-8,false,0.1-0.8nm
2022-09-12T09:40:00Z,16,7.59730411914461e-8,8.675729645801766e-8,1.0784259707463661e-8,false,0.05-0.4nm
2022-09-12T09:40:00Z,16,0.0000025226595425920095,0.0000025565984742570436,3.393909864257694e-8,false,0.1-0.8nm
2022-09-12T09:41:00Z,16,7.275197333456163e-8,8.337833179439258e-8,1.0626355795295694e-8,false,0.05-0.4nm
2022-09-12T09:41:00Z,16,0.0000024735961687838426,0.000002508675152057549,3.507906853883469e-8,false,0.1-0.8nm
2022-09-12T09:42:00Z,16,7.26500530845442e-8,8.281707408741568e-8,1.01670174501578e-8,false,0.05-0.4nm
2022-09-12T09:42:00Z,16,0.0000024297760319313966,0.000002463712689859676,3.3936739640694213e-8,false,0.1-0.8nm
2022-09-12T09:43:00Z,16,6.983638201063513e-8,8.01655772875165e-8,1.0329197941416624e-8,false,0.05-0.4nm
2022-09-12T09:43:00Z,16,0.0000023853724542277632,0.000002418496706013684,3.312423046963886e-8,false,0.1-0.8nm
2022-09-12T09:44:00Z,16,6.656573248164932e-8,7.756027287086908e-8,1.0994545718290283e-8,false,0.05-0.4nm
2022-09-12T09:44:00Z,16,0.0000023507329842686886,0.0000023849236185924383,3.4190716036164304e-8,false,0.1-0.8nm
2022-09-12T09:45:00Z,16,6.45397193466124e-8,7.522442047047662e-8,1.0684699347507376e-8,false,0.05-0.4nm
2022-09-12T09:45:00Z,16,0.000002317198550372268,0.0000023513875930802897,3.4189117315008843e-8,false,0.1-0.8nm
2022-09-12T09:46:00Z,16,6.149626585738588e-8,7.253046874211577e-8,1.1034203772908313e-8,false,0.05-0.4nm
2022-09-12T09:46:00Z,16,0.0000022914691726327874,0.0000023262236936716363,3.475444643186165e-8,false,0.1-0.8nm
2022-09-12T09:47:00Z,16,5.898699484419012e-8,7.046558891943278e-8,1.1478589634350556e-8,false,0.05-0.4nm
2022-09-12T09:47:00Z,16,0.0000022687031560053583,0.0000023052441520121647,3.654097469052431e-8,false,0.1-0.8nm
2022-09-12T09:48:00Z,16,5.713052075861924e-8,6.849362677030513e-8,1.1363103347150627e-8,false,0.05-0.4nm
2022-09-12T09:48:00Z,16,0.0000022466713289759355,0.0000022835363324702485,3.686502125788138e-8,false,0.1-0.8nm
2022-09-12T09:49:00Z,16,5.38092983504157e-8,6.592674139938026e-8,1.2117440384429301e-8,false,0.05-0.4nm
2022-09-12T09:49:00Z,16,0.000002218614099547267,0.0000022561130208487157,3.7498985250294936e-8,false,0.1-0.8nm
2022-09-12T09:50:00Z,16,5.357772536740413e-8,6.567744037511147e-8,1.2099712343172087e-8,false,0.05-0.4nm
2022-09-12T09:50:00Z,16,0.0000021944367745163618,0.0000022321728465612978,3.7735990332521396e-8,false,0.1-0.8nm
2022-09-12T09:51:00Z,16,5.152381632456127e-8,6.307566025043343e-8,1.1551841261336904e-8,false,0.05-0.4nm
2022-09-12T09:51:00Z,16,0.0000021724129055655794,0.0000022102931325207464,3.788031222029531e-8,false,0.1-0.8nm
2022-09-12T09:52:00Z,16,4.955558452479636e-8,6.11014314699787e-8,1.1545850497896026e-8,false,0.05-0.4nm
2022-09-12T09:52:00Z,16,0.000002148086196029908,0.0000021868936528335325,3.880753851603913e-8,false,0.1-0.8nm
2022-09-12T09:53:00Z,16,4.8773699745652266e-8,5.980894712820373e-8,1.103525093526514e-8,false,0.05-0.4nm
2022-09-12T09:53:00Z,16,0.0000021391547306848224,0.0000021778507743874798,3.869602593908894e-8,false,0.1-0.8nm
2022-09-12T09:54:00Z,16,4.749094628664352e-8,5.804543334875234e-8,1.0554489726644078e-8,false,0.05-0.4nm
2022-09-12T09:54:00Z,16,0.0000021163837118365336,0.000002155303945983178,3.892020217222125e-8,false,0.1-0.8nm
2022-09-12T09:55:00Z,16,4.640477868633752e-8,5.710161232741484e-8,1.0696834529255739e-8,false,0.05-0.4nm
2022-09-12T09:55:00Z,16,0.0000021025862224632874,0.0000021420983102871105,3.951216243081035e-8,false,0.1-0.8nm
2022-09-12T09:56:00Z,16,4.627677085977666e-8,5.745398823364667e-8,1.1177216485691588e-8,false,0.05-0.4nm
2022-09-12T09:56:00Z,16,0.000002103286760757328,0.0000021446392111101886,4.1352592461407767e-8,false,0.1-0.8nm
2022-09-12T09:57:00Z,16,4.763384708894591e-8,5.889245713319724e-8,1.1258612708786586e-8,false,0.05-0.4nm
2022-09-12T09:57:00Z,16,0.0000021117343749210704,0.0000021532798655243823,4.154567179170954e-8,false,0.1-0.8nm
2022-09-12T09:58:00Z,16,5.371514433250013e-8,6.528036777808666e-8,1.1565223445586525e-8,false,0.05-0.4nm
2022-09-12T09:58:00Z,16,0.000002173839902752661,0.0000022152819383336464,4.144215637325033e-8,false,0.1-0.8nm
2022-09-12T09:59:00Z,16,5.67870124257297e-8,6.86093315493963e-8,1.1822318235488183e-8,false,0.05-0.4nm
2022-09-12T09:59:00Z,16,0.000002250077386634075,0.0000022907668153493432,4.068925107958421e-8,false,0.1-0.8nm
